method,batch,prefill_tokens,decode_steps,phase,original_mean,replacement_mean,relative_reduction,pairs,block_length,ci_low,ci_high
shortcut-eml-d1-s1103-n12000,8,512,32,prefill_seconds,0.07300444673746824,0.07204577314356962,0.013131715076837858,30,5,0.006836509926964274,0.019712126555575304
shortcut-eml-d1-s1103-n12000,8,512,32,decode_seconds,1.225997582015892,1.2246120408798258,0.0011301336612653534,30,5,-0.013432313391325668,0.0193768717857713
shortcut-eml-d1-s1103-n12000,8,512,32,end_to_end_seconds,1.2990031209463875,1.2966589873035748,0.0018045635187580178,30,5,-0.011819005299693819,0.018710572868062103
shortcut-eml-d1-s1103-n12000,8,512,32,prefill_gpu_ms,72.9540631612142,71.99360783894856,0.013165206715672784,30,5,0.00684876334707285,0.01974973445032102
shortcut-eml-d1-s1103-n12000,8,512,32,decode_gpu_ms,1225.9616739908854,1224.5745768229167,0.0011314359962438791,30,5,-0.013428278539760807,0.01937138067698263
shortcut-silu-d1-s1103-n12000,1,128,32,prefill_seconds,0.04246078735838334,0.04226907423386971,0.004515062871903508,30,5,-0.0469730704589586,0.05014898754837982
shortcut-silu-d1-s1103-n12000,1,128,32,decode_seconds,1.2022034752493103,1.2084857614710927,-0.005225643038903716,30,5,-0.017227747564652507,0.006570697149733018
shortcut-silu-d1-s1103-n12000,1,128,32,end_to_end_seconds,1.2446650747209786,1.2507556257148584,-0.004893325214612609,30,5,-0.015862819572062037,0.005720564596882083
shortcut-silu-d1-s1103-n12000,1,128,32,prefill_gpu_ms,42.19314473470052,41.98233337402344,0.0049963415147793455,30,5,-0.04697484218340198,0.05264024909150101
shortcut-silu-d1-s1103-n12000,1,128,32,decode_gpu_ms,1201.9384440104166,1208.2194864908854,-0.005225760530224388,30,5,-0.017239145186355165,0.006571308391897346
shortcut-silu-d1-s1103-n12000,1,512,32,prefill_seconds,0.06193700643877188,0.06418747200320164,-0.03633474870398312,30,5,-0.053624762936632875,-0.020952016357169256
